,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000160439.14,907.2605054,0.172089647,0.041494829,4.147255264,3.36E-05,0.004713988
ENSG00000205238.8,3.798450622,-0.593758855,0.14319091,-4.146623934,3.37E-05,0.004713988
ENSG00000035720.6,182.0106559,0.935606959,0.225671298,4.14588372,3.39E-05,0.004713988
ENSG00000113578.16,151.3964821,-0.459072988,0.110739663,-4.145515486,3.39E-05,0.004713988
ENSG00000275212.1,31.74098152,1.04461224,0.252235342,4.141419,3.45E-05,0.004780317
ENSG00000224051.5,2216.268354,0.266543295,0.064394199,4.139243878,3.48E-05,0.004804745
ENSG00000183401.10,2100.498841,0.302371317,0.073063527,4.13847138,3.50E-05,0.004804745
ENSG00000261514.1,0.997855442,1.844081446,0.445797416,4.136590705,3.53E-05,0.004825645
ENSG00000225761.1,2.025121872,-0.869905572,0.210510355,-4.132364754,3.59E-05,0.004896425
ENSG00000102104.8,7.032548802,0.61001866,0.147740918,4.128975706,3.64E-05,0.004950183
ENSG00000157315.4,107.9167153,-0.815878258,0.197949414,-4.12165029,3.76E-05,0.005090854
ENSG00000006534.14,355.0585471,-0.332108003,0.080604662,-4.120208375,3.79E-05,0.005103415
ENSG00000248896.2,7.119259911,-0.434388507,0.105478306,-4.118273449,3.82E-05,0.005127025
ENSG00000279841.1,2.823465062,-0.709127578,0.172547722,-4.109747559,3.96E-05,0.005300037
ENSG00000183077.14,2344.057252,0.260819629,0.063559733,4.103535639,4.07E-05,0.00542405
ENSG00000117899.9,4476.487246,0.146569113,0.035751791,4.099629977,4.14E-05,0.005495814
ENSG00000152213.3,38.16911263,-0.382709943,0.093398626,-4.097597135,4.17E-05,0.005523676
ENSG00000133112.15,177366.762,0.257993765,0.062986049,4.096046142,4.20E-05,0.005540198
ENSG00000159251.6,1594.265524,0.900434101,0.21990534,4.094644084,4.23E-05,0.005553262
ENSG00000124159.14,13.04744301,0.762681183,0.186308043,4.093656787,4.25E-05,0.005556469
ENSG00000117242.7,450.4800507,0.190613195,0.046583416,4.091868094,4.28E-05,0.005579001
ENSG00000091138.11,159.9239258,-0.917040052,0.22445485,-4.085632605,4.40E-05,0.005710064
ENSG00000101441.4,43.29455116,1.029025634,0.25196756,4.083960785,4.43E-05,0.005724315
ENSG00000280065.1,3.87731513,1.033718531,0.253171047,4.083083519,4.44E-05,0.005724315
ENSG00000174125.6,155.2528548,-0.474462908,0.116218013,-4.082524684,4.45E-05,0.005724315
ENSG00000224373.3,147.4997368,-0.88081151,0.215881117,-4.080076677,4.50E-05,0.005764126
ENSG00000211891.5,5.956098283,-0.991582269,0.243147709,-4.078106576,4.54E-05,0.005774414
ENSG00000090316.14,3627.354852,0.136510083,0.033474801,4.077995366,4.54E-05,0.005774414
ENSG00000251442.4,35.72763928,-0.380553205,0.093387427,-4.074994028,4.60E-05,0.005797566
ENSG00000232228.1,3.270197404,0.74932442,0.183883945,4.074985559,4.60E-05,0.005797566
